ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
216,"AMINOPYRALID + 2,4 - D",PASTAR 360 SL,DOW AGROSCIENCES DE COLOMBIA S.A,,"40 g/L
320 g/L",SL,ESTADOS UNIDOS MEXICO
217,IMAZALIL,VOLCAN 75 SP,FMC COLOMBIA S.A.S,,750 g/kg,SP,nnn
218,CLORPIRIFOS,CLORPIRIFOS 2.5 DP AGRICENSE,AGRICENSE LTDA,,25 g/kg,DP,COLOMBIA
219,CARBOXIN +THIRAM,TRATAFED 400,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,"200 g/kg ,200 g/kg",WS,COLOMBIA INDIA
220,FOLPET + CYMOXANIL,PRONTO  WP,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"640 g/kg, 80 g/kg",WP,COLOMBIA
221,IPRODIONE,TORIN  500 SC,WATINUS S.A.S,,500 g/L,SC,ESPAÜA
222,PARAQUAT,PARAXONE EVOFARMS 200 SL,UPL COLOMBIA S.A.S.,,200 g/L,SL,CHINA
223,IMAZALIL,IMAZALIL CHEMO 75 SP,MADECHEM S.A.,,750 g/kg,SP,ESPAÜA
224,IMIDACLOPRID,PROTREAT  600 FS,ROTAM AGRO COLOMBIA S.A.S,,600 g/L,FS,CHINA
225,,,,,,,
226,PROPICONAZOL,CROPIZOL EC,FMC COLOMBIA S.A.S,,250 g/L,EC,"ESPAÜA, CHINA"
228,BISPYRIBAC SODIUM,BISPYRIGEN 100 SC,NUFARM COLOMBIA S.A,,100 g/L,SC,"CHINA, INDIA"
229,MANCOZEB,UTHANE 80 WP,UPL COLOMBIA S.A.S.,,800 gkg,WP,INDIA
230,,,,,,,
231,"PROPANIL
+TRICLOPYR",PROPAPYR 420 EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,"382 g/L
40 g/L",EC,"COLOMBIA, INDIA"
232,IMIDACLOPRID,BUGGY  350 SC,FMC COLOMBIA S.A.S,,350 g/L,SC,"ESPAÜA,CHINA"
233,TRICYCLAZOL,CICLAZOLE EVOFARMS 75 WP,UPL COLOMBIA S.A.S.,,750 g/kg,WP,"INDIA,  CHINA"
234,FOSETYL ALUMINIO,FOSAL 80 WP,AGRIPHAR DE COLOMBIA S.A.S,,800 g/kg,WP,BELGICA
235,TIAMETOXAN,CRUISER  350 FS,SYNGENTA S.A,,350 g/L,FS,BRASIL
236,PYRIBENZOXIM,PYANCHOR 050 EC,SYNGENTA S.A,,50 g/L,EC,"COLOMBIA, COREA"
237,BUTACLOR,BUTACLOR CHEMO,MADECHEM S.A.,,600 g/L,EC,ESPAÜA
238,IMIDACLOPRID,IMIDOGEN  350 SC,NUFARM COLOMBIA S.A,,350 g/L,SC,"CHINA, INDIA"
240,BICARBONATO DE POTACIO,MILSTOP,COLINAGRO S.A,,850 g/kg,SP,USA
241,"PICLORAM  + 2,4-D",SAAT CANCION SL,SAAT ANDINA S.A.,,"64 g/L, 240 g/L",SL,CHINA
242,IPRODIONE,IPRODIONE AGROGEN 500 SC,NUFARM COLOMBIA S.A,,500 g/L,SC,CHINA
243,TEBUCONAZOLE + CARBENDAZIM,TANDEM 250 SC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,"125 g/L,
125 g/L",SC,CHINA
244,ABAMECTINA,EVIL 1.8 EC,PHYTOCARE S.A.S,,18 g/L,EC,CHINA
245,PYRAZOSULFURON ETHYL,SULFONIL EVOFARMS 250 SC,UPL COLOMBIA S.A.S.,,250 g/L,SC,CHINA
246,CARBENDAZIM,CARBENDAZIM  CHEMO,MADECHEM S.A.,,500 g/L,SC,ESPAÜA
247,PROPICONAZOL,PROPICONAZOL CHEMO,MADECHEM S.A.,,250 g/L,EC,ESPAÜA
248,DIFENOCONAZOL,DIFEZOL 250 EC,CHEMINOVA AGRO DE COLOMBIA S.A,,250 g/L,EC,ESPAÜA BELGICA
249,LAMBDA CIHALOTRINA,KOYOTE  EC,WATINUS S.A.S,,50 g/L,EC,ESPAÜA
250,OXADIAZON,PRENOFON 25 EC,LABORATORIOS FARMACEUTICOS GENFAR S.A.,,250 g/L,EC,"COLOMBIA, ESPAÜA"
251,TEBUCONAZOLE,TEBUCOZ 25 EC,ROTAM  AGROCHEMICAL COLOMBIA LTDA,,250 g/L,EC,CHINA
252,PROPICONAZOL,PYRIZOLE 250 EC,UPL COLOMBIA S.A.S.,,250 g/L,EC,"INDIA, CHINA"
253,ACEQUINOCYL,KANEMITE 15% SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,155 g/L,SC,JAPON
254,CLOTHIANIDIN,DANTOTSU  50 WG,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,200 g/L,WG,JAPON
255,PROPAMOCARB CLORHIDRATO,PROMESS  722 SL,AGRIPHAR DE COLOMBIA S.A.S,,722 g/L,SL,BELGICA
256,IMIDACLOPRID,IMAPRID 350 SC,PHYTOCARE  S.A.S,,350 g/L,SC,CHINA
257,LAMBDA CIHALOTRINA,SAAT LAMBADA 50 EC,SAAT ANDINA S.A.,,50 g/L,EC,CHINA
258,IMIDACLOPRID,INVEPRID 350  SC,INVESA  S.A,,350 g/L,SC,COLOMBIA
259,PROCLORAZ,TROIKA 45 EC,TRUST QUIMICA S.A.S,,450 g/L,EC,CHINA
260,ATRAZINA,SAAT FLAUTIST 500 SC,SAAT ANDINA S.A.,,500 g/L,SC,CHINA
261,MANCOZEB,MANCONEX 80 WP,CIBOCHEM S.A.S,,800 g/kg,WP,ESPAÜA
262,"PICLORAM + 2,4 D",PICLORAM AGROGEN 300 SL,NUFARM COLOMBIA S.A,,"64  g/L,240 g/L",SL,CHINA
263,DIFENOCONAZOL Y PROPICONAZOL,SAAT BOSSANOVA 300 EC,SAAT ANDINA S.A.,,"150 g/L
150 g/L",EC,CHINA
264,DELTAMETRINA,DYNAMO 2.5 EC,FMC COLOMBIA S.A.S,,25 g/L,EC,CHINA
265,SPIROMESIFEN,OBERON  SC 240,BAYER S.A,,240 g/L,SC,ALEMANIA
266,AMETRINA,CANE 500 SC,PHYTOCARE S.A.S,,350 g/L,SC,CHINA
267,LAMBDA- CYHALOTRINA,AIKIDO  50 EC,HELM ANDINA LTDA,,50 g/L,EC,CHINA
268,DELTAMETRINA,DELTA EVOFARMS 2.5 EC,UPL COLOMBIA S.A.S.,,25 g/L,EC,INDIA
269,METIRAM + PYRACLOSTROBIN,CABRIO TOP  WG,BASF QUIMICA COLOMBIANA S.A,,"550 g/kg,50 g/kg",WG,ALEMANIA
270,TRIFLOXYSTROBIN,TEGA NOVA SC 250,BAYER CROPSCIENCE S.A,,250 g/L,SC,"ALEMANIA, COLOMBIA"
271,"PICLORAM  + 2,4-D","PICLORAM + 2,4-DAMINA VECOL SL",VECOL S.A,,"64  g/L,
240 g/L",SL,REPUBLICA POPULAR DE CHINA
272,"FENAMIDONE, + PROPAMOCARB HCL",CONSENTO  SC,BAYER  S.A,,"75 g/L, 375 g/L",SC,"BRASIL, GUATEMALA, FRANCIA, COLOMBIA"
273,BITERTANOL,BAYCOR SC 500,BAYER CROPSCIENCE S.A,,500 g/L,SC,"ALEMANIA
,COLOMBIA"
274,METSULFURON- METHYL + PICLORAM,METSULFURON + PICLORAM VECOL,VECOL S.A,,"600 g/L + ,240 g/L",WG   SL,CHINA
275,BUTACLOR,BUTACLOR VECOL 600 EC,VECOL S.A,,600 g/L,EC,REPUBLICA POPULAR CHINA
276,CYHALOFOP-P-BUTIL,EVOCLEAN EVOFARMS EC,UPL COLOMBIA S.A.S.,,180 g/L,EC,"ARGENTINA, CHINA"
277,BISPYRIBAC SODIUM,NOMINE SC 400,BAYER  S.A,,400 g/L,SC,"COLOMBIA, JAPON"
279,PARAQUAT,CERILLO  SL,SYNGENTA S.A,,200 g/L,SL,"COLOMBIA, MEXICO"
280,ORTHOSULFAMURO N,KELION 50 WG,ADNICOL S.A.S,,500 g/kg,WG,ITALIA
281,OXADIAZON,OXAFED 250 EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,250 g/L,EC,"COLOMBIA, INDIA, CHINA"
282,BOSCALID + KRESOXIM METIL,COLLIS    SC,BASF QUIMICA COLOMBIANA S.A,,"200 g/L
100 g/L",SC,ESPAÜA
283,LAMBDA CIAHALOTRINA,BAZUCA 50 EC,TRUST QUIMICA S.A.S,,50 g/L,EC,CHINA
284,FLUTRIAFOL,IMPACT   125 SC,CHEMINOVA AGRO DE COLOMBIA S.A,,125 g/L,SC,"URUGUAY, FRANCIA, DINAMARCA, ARGENTINA, BRASIL"
285,BOSCALID + PYRACLOSTROBIN,BELLIS   WG,BASF QUIMICA COLOMBIANA S.A,,"252 g/kg
128 g/kg",WG,"USA, INDIA"
286,"2,4 D",NAVAJO  SP,NUFARM COLOMBIA S.A,,819.30 g/kg,SP,AUSTRIA
287,TEBUCONAZOL,SYGAN EVOFARMS 25 EC,UPL COLOMBIA S.A.S.,,250 g/L,EC,CHINA
288,METAFLUMIZONE,VERISMO   SC,BASF QUIMICA COLOMBIANA S.A,,240 g/L,SC,"ESTADOS UNIDOS, ESPAÜA, FRANCIA"
289,CHLORFENAPYR,MITIPYR 240 SC,QUIMICOS OMA LTDA,,240 g/L,SC,COLOMBIA
290,FOSETIL ALUMINIO,SPEED EVOFARMS 80 WP,UPL COLOMBIA S.A.S.,,800 g/kg,WP,CHINA
291,ABAMECTINA,ABAMET 1.8 EC,DISCRYSTAL LTDA.,,18 g/L,EC,CHINA
292,TERBUTRINA,TERBUTREX 50 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,515 g/L,SC,"ISRAEL, COLOMBIA"
293,TRIDEMORF,BANACLEAN  86 OL,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,860 g/L,OL,CHINA
294,METRIBUZINA,ABAX  480 SC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,480 g/L,SC,CHINA
295,PROPICONAZOL,SIGAZOL 25 EC,ANASAC COLOMBIA LTDA,,250 g/L,EC,CHILE CHINA
296,BISPYRIBAC SODIUM,BISPYRIFED 100 SC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,100 g/L,SC,"COLOMBIA, CHINA, INDIA"
297,AZOXYSTROBIN + DIFENOCONAZOLE,AMISTAR  TOP,SYNGENTA S.A,,"200 g/L
125 g/L",SC,REINO UNIDO
298,TRIDEMORF,TRIDEFARM EVOFARMS 86 OL,EVOFARMS S.A,,860 g/L,OL,CHINA
299,GLIFOSATO,ROUNDUP  TRANSORB BRIO,"COMPAÜA AGRICOLA
S.A.S COACOL",,540 g/l como _cido- 662 g/l como sal,SL,"MEXICO, COLOMBIA"
300,GLIFOSATO,ROUNDUP  TRANSORB ACTIVO,COMPAÜA AGRICOLA COLOMBIANA LTDA Y CIA S.C.A,,480 g/L,SL,MEXICO COLOMBIA
301,ETHABOXAM,ETOFIN  10 SC,SUMITOMO CORPORATION COLOMBIA S.A.S,,100 g/L,SC,COREA
302,"2,.4-D + PICLORAM",PICLAM 304 SL,"INVEQUIMICA S.A ""INVESA S.A""",,"240 g/L,
64 g/L",SL,CHINA
303,IMIDACLOPRID,RAUDO GQA 727 SC,GRUPO QUIMICO ANDINO LTDA.,,727 g/L,SC,COLOMBIA
304,PYRAZOSULFURON ETIL,UPL COLOMBIA S.A.S.,EVOFARMS S.A,,100 g/kg,WP,CHINA
305,ZETACIPERMETRINA,FURY  40 EC,FMC   LATINOAMERICANA S.A,,400 g/L,EC,BRASIL
306,CIPERMETRINA,CIPERMETRINA EVOFARMS 20 EC,UPL COLOMBIA S.A.S.,,200 g/L,EC,INDIA COLOMBIA
307,HEXITHYAZOX,LATHIX 54 EC,QUIMICOS OMA LTDA,,54 g/L,EC,COLOMBIA
308,PROPAMOCARB HCL,SIDERAL 70 SL,QUIMICOS OMA S.A,,700 g/L,SL,COLOMBIA
309,"2,4-D + PICLORAM",BONANZA 304 SL,TECNOQUIMICAS  S.A,,"240 g/L
64 g/L",SL,CHINA COLOMBIA
310,TRIADIMEFON,TRIFON 250 EC,UPL COLOMBIA S.A.S.,,250 g/l,EC,CHINA
311,TETRADIFON,DIFON 80 EC,QUIMICOS OMA LTDA,,80 g/L,EC,COLOMBIA
312,2.4-D,AKIRO 720 SL,PHYTOCARE S.A.S,,720 g/L,SL,CHINA
313,THIACLOPRID + DELTAMETRINA,PROTEUS  OD,BAYER  S.A,,"150 g/L
,20 g/L",OD,"ALEMANIA, FRANCIA, COLOMBIA"
314,LAMDA CYHALOTRIN,LAMDEX 5 EC,PROFICOL S.A,,50 g/L,EC,ISRAEL COLOMBIA
315,BIFENTRINA,SEIZER  8 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,80 g/L,SC,ISRAEL COLOMBIA
316,CLOROTALONIL,ODEON  720 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,720 glL,SC,ISRAEL COLOMBIA CHINA
317,CLOROTALONIL,ODEON 82.5 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,825 g/kg,WG,ISRAEL
318,CLOROTHALONIL,GLIDER  720 SC,ROTAM AGRO COLOMBIA S.A.S,,720 g/L,SC,CHINA
319,"PROPAMOCARB HCI
+ FLUOPICOLIDE",INFINITO SC,BAYER  S.A,,"625 g/L
62.5 g/L",SC,"ALEMANIA, ARGENTINA, BRASIL, FRANCIA, GUATEMALA, COLOMBIA"
320,METSULFURON,EUREKA 60 WG,TRUST QUIMICA LTDA,,60%,WG,CHINA
321,MANCOZEB,TESSO 80 WP,PHYTOCARE S.A.S,,800 g/kg,WP,"CHINA, INDIA"
322,PROPINEB + FLUOPICOLIDE,TRIVIA  WP,BAYER S.A,,"667 g/kg
60 g/kg",WP,"COLOMBIA, ALEMANIA, FRANCIA, GUATEMALA, BRASIL, ESTADOS UNIDOS, TURQUIA"
323,FLUFENOXURON,MORSE 100 EC,QUIMICOS OMA S.A,,100 g/L,EC,COLOMBIA
324,CIPERMETRINA,USTAAD 25 EC,UPL COLOMBIA S.A.S.,,250 g/L,EC,INDIA
325,CLOROTALONIL,FUNGITOX  720 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,720 g/L,SC,"FRANCIA, CHINA
, COLOMBIA"
326,DEIMETOMORF,EVOMAX EVOFARMS 500 WP,UPL COLOMBIA S.A.S.,,500 g/kg,WP,CHINA
327,"2,4-D",AKIRO 480 SL,PHYTOCARE S.A.S,,480 g/L,SL,CHINA
328,CLOMAZONE,CLOMAZONE TRUST 480 EC,TRUST QUIMICA S.A.S.,,480 g/L,EC,CHINA
329,CLOROTALONIL,RENEX  720 SC,TRUST QUIMICA S.A.S.,,720 g/L,SC,CHINA
330,GLIFOSATO,GEOX 480 SL,PHYTOCARE  S.A.S,,480 g/L,SL,CHINA
331,KRESOXIM METHYL,EFIX 500 SC,QUIMICOS OMA S.A,,500 g/L,SC,COLOMBIA
332,CAPTAN,CORAZA 480 SC,QUIMICOS OMA S.A,,480 g/L,SC,COLOMBIA
333,CIMOXANIL + PROPINEB,FUSSION GQA 160 SC,GRUPO QUIMICO ANDINO LTDA.,,"60 g/ L
100 g/L",SC,COLOMBIA
334,MANCOZEB + METALAXIL,SUMO 160 SC,GRUPO QUIMICO ANDINO LTDA.,,"100 g/L
60 g/L",SC,COLOMBIA
335,NOVALURON,TORERO 10 SC,ADAMA ANDINA B.V SUCURSAL COLOMBIA,,100 g/L,SC,ISRAEL COLOMBIA
336,PROFENOFOS,AWAKE 500 EC,TECNOQUIMICAS  S.A,,500 g/l,EC,CHINA
337,LAMBDA CYHALOTRINA,ZENZOL 50 EC,TECNOQUIMICAS  S.A,,50 g/L,EC,COLOMBIA CHINA
338,MANDIPROPAMID,REVUS 250 SC,SYNGENTA S.A,,250  g/L,SC,"COLOMBIA,USA"
339,DIMETOMORPH,FORUM 500 SC,BASF QUIMICA COLOMBIANA S.A,,500 g/L,SC,U.S.A.
340,DELTAMETRINA,DETRIN BRIO GQA 50 EC,TAGROS CHEMICALS ANDINA S.A.S,,50 g/L,EC,COLOMBIA
341,MANCOZEB + METALAXIL,METAX 72 WP,QUIMICOS OMA S.A,,"640 g/kg
80 g/kg",WP,COLOMBIA
342,IMIDACLOPRID + TEBUCONAZOLE,ANCLA  FS,BAYER  S.A,,"233 g/lL,
13 g/L",FS,COLOMBIA ALEMANIA
343,LAMBDACIHALOTRIN A,ATHRIN BRIO GQA 100 EC,GRUPO QUIMICO ANDINO LTDA.,,100 g/L,EC,COLOMBIA
344,HEXCONAZOLE,MILDIUM 50 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,50 g/L,SC,CHINA
345,BENOMYL,BENOMYL 50 WP,PHYTOCARE S.A.S,,500 g/Kg,WP,CHINA
346,MANCOZEB,DITHANE 75 WG NT,DOW AGROSCIENCES DE COLOMBIA S.A,,750 g/kg,WG,FRANCIA COLOMBIA
347,PENDIMETALINA,FREE  400 EC,ARYSTA LIFESCIENCE COLOMBIA S.A.,,400 g/L,EC,"COLOMBIA, CHINA"
348,METHOMYL,ESTOCADA 90 SP,QUIMICOS OMA S.A,,"900 g/kg,,,,",SP,CHINA COLOMBIA
349,DIFECONAZOL,CONAZOLE EVOFARMS 250 EC,UPL COLOMBIA S.A.S.,,250 g/L,EC,CHINA
350,ABAMECTINA,HELMECTINA 1.8 EC,HELM ANDINA LTDA,,"18,0 g/L",EC,CHINA
351,ACETOCHLOR,ACETOGAN 90 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,900 g/L,EC,COLOMBIA
352,CIPERMETRINA,INVETRINA  200 EC,INVESA  S.A,,200 g/L,EC,COLOMBIA
353,HEXACONAZOL,ARION 50 SC,PHYTOCARE S.A.S,,"50,28 g/kg",SC,CHINA
354,PENDIMETALINA,PROWL  H2O CS,BASF QUIMICA COLOMBIANA S.A,,455 g/L,CS,USA
355,ALFACIPERMETRINA,MAGEOS  150 WG,BASF QUIMICA COLOMBIANA S.A,,150 g/kg,WG,FRANCIA
356,CIMOXANIL + MANCOZEB,MOXAN MZ WP,ANASAC COLOMBIA LTDA,,"80 g/kL
640 g/Kg",WP,"CHILE, INDIA CHINA"
357,CIROMAZINA,CIROMEX BRIO GQA 400 SC,QUIMICOS OMA S.A,,400 g/L,SC,COLOMBIA
358,DIFENOCONAZOL,SKEL 250 EC,QUIMICOS OMA S.A,,250 g/L,EC,COLOMBIA
359,DIFENOCONAZOL,DIDA EVOFARMS 250 EC,UPL COLOMBIA S.A.S.,,250 g/L,EC,CHINA
360,PENDIMETALINA,ACONIT 400 EC,TECNOQUIMICAS  S.A,,400 g/L,EC,"CHINA, COLOMBIA"
361,GLIFOSATO,FOSSEL  480 SL,TECNOQUIMICAS  S.A,,480 g/L,SL,COLOMBIA CHINA
362,BISPYRIBAC SODIUM,LEGEND 400 SC,ANASAC COLOMBIA LTDA,,400 g/L,SC,CHILE CHINA
363,FENOXAPROP-P-ETIL,FENOVA  110 EW,FMC COLOMBIA S.A.S,,110 g/L,EW,DINAMARCA
364,GLIFOSATO,PANZER 648 SL,INVESA  S.A,,480 g/L,SL,COLOMBIA
365,CLOROTALONIL,CLOROTIL 720 SC,GENFAR S.A.,,720 g/L,SC,ESPAÜA COLOMBIA
366,PROCHLORAZ,DEMINAK 45 EC,QUIMICOS OMA S.A,,450 g/L,EC,COLOMBIA
367,METSULFURON METIL,NUFURON 60 WG,NUFARM COLOMBIA S.A,,600 g/kg,WG,CHINA
368,FLUSILAZOL,KROP 400 EC,QUIMICOS OMA LTDA,,400 g/L,EC,COLOMBIA
369,DELTAMETRINA,METEORO  2.5 EC,LABORATORIOS FARMACEUTICOS GENFAR S.A.,,25 g/L,EC,ESPAÜA COLOMBIA
370,ABAMECTINA,CATOMBE BRIO GQA 50 SC,GRUPO QUIMICO ANDINO LTDA.,,50 g/L,SC,COLOMBIA
371,OXADIAZON,OXAFED 380 SC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,380 g/L,SC,"INDIA, CHINA, COLOMBIA"
372,DIFECONAZOL,KAZAAM EC,AGROSTAR DE COLOMBIA LTDA,,250 g/l,EC,CHINA
373,METHIOCARB,INTEGRO 500 SC,QUIMICOS OMA S.A,,500 g/l,SC,COLOMBIA
374,FOSETIL ALUMINIO / MANCOZEB,EXTREME 70 WP,TECNOQUIMICAS  S.A,,350 g/kg,WP,CHINA
375,BIFENTRINA,SEIZER 10 EC,PROFICOL ADAMA B.V. SUCURSAL COLOMBIA,,100 g/L,EC,ISRAEL COLOMBIA
376,FOSETIL ALUMINIO,FIXOL 80 WP,TECNOQUIMICAS  S.A,,800 g/kg,WP,CHINA
377,MANCOZEB + METALAXIL,TRYON 72 WP,PHYTOCARE S.A.S,,"640 g/kg
80 g/kg",WP,"CHINA,INDIA"
378,PROPINEB,EMINENT WP 70,CROPSA LTDA.,,700 g/kg,WP,COLOMBIA ALEMANIA
379,DIFENOCONAZOLE,AVAL 250 EC,PHYTOCARE S.A.S,,250 g/l,WP,CHINA
380,QUINCLORAC,MOLUR  250 SC,TECNOQUIMICAS  S.A,,250 g/l,SC,COLOMBIA CHINA
381,AZOXISTROBIN,MIRADOR  25 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,250 g/L,SC,COLOMBIA
382,CARBENDAZIM,MAGISTRAL GQA 720 SC,GRUPO QUIMICO ANDINO LTDA.,,720 g/L,SC,COLOMBIA
383,DIFENOCONAZOLE,KURDO 250 EC,INVESA  S.A,,250 g/L,EC,COLOMBIA
384,BISPYRIBAC SODIUM,CLICK 10 SC,PHYTOCARE S.A.S,,100 g/L,SC,CHINA
385,HEXACONAZOL,SKYP 5 SC,QUIMICOS OMA S.A,,50 g/L,SC,COLOMBIA
386,PROPICONAZOLE  + DIFECONAZOLE,TENOL 500 EC,TECNOQUIMICAS  S.A,,"250 g/L
250 g/L",EC,CHINA COLOMBIA
387,PROPINEB,MOVICAM  70 WP,TECNOQUIMICAS  S.A,,700 g/kg,WP,CHINA
388,MANCOZEB,HEROE,AGRO S.A.,,80 g/L,WP,MALASYA
389,BISPYRIBAC SODIUM,DESIGNEE 400 SC,AGROSER  S.A,,400 g/L,SC,"CHINA, COLOMBIA"
390,FENOXAPROP-P-ETIL,DUKE  EC,BAYER  S.A,,69 g/L,EC,"COLOMBIA, FRANCIA, CANADA"
391,BENALAXIL + CLOROTALONIL,TRECATO L WP,FMC   LATINOAMERICANA S.A,,"80 g/kg,
400 g/kg",WP,ITALIA COLOMBIA
392,"PICLORAM + 2,4-D",RANCHERO 101 SL,TRUST QUIMICA S.A.S,,"64 g/L
240 g/L",SL,CHINA
393,METOLACHOR,METOLAGAN 930 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,930 g/L,EC,ISRAEL COLOMBIA
394,BUTACLOR,BALD  EC,RED SURCOS COLOMBIA LTDA,,600 g/L,EC,ESPAÜA
395,BISPYRIBAC SODIUM,BIRIBAC 100 SC,QUIMICOS OMA S.A,,100 g/L,SC,COLOMBIA
396,ALFACIPERMETRINA Y TEFLUBENZURON,EXPANDER 150 SC,BASF QUIMICA COLOMBIANA S.A,,75 g/L,SC,BRASIL
397,"2,4-D+ PICLORAM",TRAVER SL,ANASAC COLOMBIA LTDA,,"330 g/L, 398 g/L
90,7g/L, 105g/L",SL,CHILE
398,CLORHIDRATO DE PROPANOCARB,PROPAMOCUR 70 SL,TECNOQUIMICAS  S.A,,700 g/L,SL,CHINA COLOMBIA
399,CLOTHIANIDIN,PONCHO FS,BAYER  S.A,,600 g/L,FS,BRASIL
400,GLIFOSATO,CUSPIDE 480 SL,TALANU CHEMICAL LTDA,,480 g/L,SL,CHINA
401,LAMBDACIHALOTRIN A,GOLPE 5 ME,ANASAC COLOMBIA LTDA,,50 g/L,ME,"CHILE, CHINA"
402,METOLACLOR,METOLAGAN   960 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,960 g/L,EC,"COLOMBIA, ISRAEL"
403,IMIDACLOPRID,CIGARAL 600 FS,ANASAC COLOMBIA LTDA,,600 g/L,FS,"CHILE, CHINA"
404,PROPAMOCARB HIDROCLORURO,PRUFEN  SL,RED SURCOS COLOMBIA LTDA,,722 g/L,SL,CHINA
405,BIFENEHRIN(A),CAPTURE 120 FS,FMC   LATINOAMERICANA S.A,,"125,71 g/L",FS,BRASIL
406,EPOXICONAZOL + CARBENDAZIM,CURADOR 250 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,125 g/L,SC,COLOMBIA
407,PENDIMETALINA,PENDIMETALINA EVOFARMS 40 EC,UPL COLOMBIA S.A.S.,,400 g/L,EC,INDIA COLOMBIA
408,TERBUTRINA,PIVO 500 SC,PHYTOCARE S.A.S,,500 g/L,SC,CHINA
409,EPOXICONAZOLE,SOPRAL 7.5 EC,ADAMA ANDINA  B.V SUCURSAL COLOMBIA,,75 g/L,EC,COLOMBIA BRASIL
410,OXADIAZON,HERBIAZON,SYNGENTA S.A,,250 g/L,EC,CHINA
411,ABAMECTINA,MATRIX 18 EC,PROFICOL S.A,,18 g/L,EC,"INDIA, CHINA"
412,IMAZALIL,VISUS 75  SP,GENFAR S.A.,,750 g/L,SP,ESPAÜA COLOMBIA
413,IMIDACLOPRID,HELOPRID 350 SC,HELM ANDINA LTDA,,350 g/L,SC,CHINA
414,PROPINEB + CYMOXANIL,REMAIN  76 WP,TECNOQUIMICAS  S.A,,"700 g/kg ,
60 g/kg",WP,CHINA
415,"2,4-D",TALAMINA 720 SL,TALANU CHEMICAL LTDA,,720 g/L,SL,CHINA
416,METOLACHLOR + ATRAZINA,METOLAZINA 660 SE,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"324 g/L,
336 g/L",SE,ISRAEL COLOMBIA
417,CLOROTALONIL,CARDUL 720 SC,TECNOQUIMICAS  S.A,,720 g/L,SC,"COLOMBIA
, CHINA"
418,METSULFURON,CRONOS 600 WG,SODIAK S.A,,600 g/kg,WG,ESPAÜA
419,GLIFOSATO,GLYFOSAN 648 SL,AGROSER  S.A,,648 g/L,SL,VENEZUELA
420,PROPINEB,FUNGITRIX,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,720 g/kg,WP,"CHINA, FRANCIA"
421,ABAMECTINA,ESSENT  EC,RED SURCOS COLOMBIA LTDA,,18 g/L,EC,ESPAÜA
422,DIFENOCONAZOL,DIFECOL ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,250 g/L,EC,"CHINA,FRANCIA, COLOMBIA"
423,IMIDACLOPRID,KOHINOR 350 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,350 g/L,SC,ISRAEL
424,GLIFOSATO,CORTADOR  480 SL,POINT DE COLOMBIA S.A.S,,480 g/L,SL,CHINA
425,GLIFOSATO,GLYPHONEX  480 SL,HELM ANDINA LTDA,,360 g/L,SL,CHINA
426,BYSPIRIBAC SODIUM,BYSPINEE 100 SC,TALANU CHEMICAL LTDA,,105.2 g/L,SC,CHINA
427,KASUGAMICINA,SAAT ARPA 4 WP,SAAT ANDINA S.A.,,40 g/kg,WP,CHINA
428,FIPRONIL,KATROM 200 SC,QUIMICOS OMA S.A,,200 g/L,SC,"INDIA, COLOMBIA"
429,TRIFLOXYSTROBIN  + TEBUCONAZOLE,NATIVO  SC,BAYER S.A,,"100 g/L,
200 g/lL",SC,"ALEMANIA, COLOMBIA"
430,FLUBENDIAMIDE,BELT  SC,BAYER  S.A,,480 g/L,SC,COLOMBIA ALEMANIA
431,PROFENOPHOS + CIPERMETRINA,FULMINATOR 600 EC,GRUPO QUIMICO ANDINO LTDA.,,"500 g/L
100 g/L",EC,COLOMBIA
432,METRAFENONA,VIVANDO   SC,BASF QUIMICA COLOMBIANA S.A,,500 g/L,SC,ESPAÜA FRANCIA
