ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
49,PROPINEB,FORMAT 70 WP,QUIMICOS OMA S.A,,700 g/kg,WP,"COLOMBIA, CHINA"
50,PENDIMETALINA,SELLALIN 330 EC,SUCROP S.A.,,330 g/L,EC,ESPAÜA
51,BISPYRIBAC SODICO,DESIGNEE 100 SC,AGROSER  S.A,,100 g/L,SC,ISRAEL
52,BUPIRIMATE,NIMROD 25 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,250 g/L,EC,ISRAEL
53,SULFATO DE COBRE PENTAHIDRATADO + SULFATO DE CALCIO,ANTRASIN P.C.,SAFER AGROBIOLOGICOS S.A.S,,"18.00%
21.00 %",PC,COLOMBIA
54,OXADIXIL + MANCOZEB,SANGOTAN  WP,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"100 g/kg
560 g/kg",WP,COLOMBIA
55,OXADIAZON,OXAMECT 250 CE,AGROSER  S.A,,250 g/L,EC,"CHINA, VENEZUELA"
56,GLIFOSATO,GLIFOGEN 648 SL,NUFARM COLOMBIA S.A,,648 g/L,SL,COLOMBIA
57,FOSETYL ALUMINIO,ELICIT 80 WP,ANASAC COLOMBIA LTDA,,800 g/kg,WP,"CHILE, CHINA"
58,MESOTRIONE,CALLISTO 480 SC,SYNGENTA S.A,,480 g/L,SC,"ESTADOS UNIDOS, BRASIL"
59,CLORPROFAM,GRO STOP 300 EC,SYNGENTA S.A,,306 g/L,EC,HOLANDA
60,SPIROXAMINA,PROSPER EC 500,BAYER  S.A,,500 g/L,EC,ALEMANIA
61,IMIDACLOPRID,RELEVO 350 SC,AGROSER  S.A,,350 g/L,SC,VENEZUELA CHINA
62,PROPANIL,PROPANIL AGROGEN 480 EC,NUFARM COLOMBIA S.A,,480 g/L,EC,CHINA
63,ABAMECTINA,INIMECTIN 1.8 EC,AGROSER  S.A,,18.83 g/L,EC,CHINA
64,PARAQUAT,PILARXONE SL,PILARQUIM DE COLOMBIA LTDA,,200 g/L,SL,"TAIWAN, CHINA"
65,CINAMALDEHIDO,CINNAMITE SL,"MAYORISTAS  AGRICOLAS
S.A  MAGRO S.A",,300 g/L,SL,ESTADOS UNIDOS DE AMERICA
66,DIURON,DIUREX  80 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,800 g/Kg,WG,ISRAEL
67,CLORPIRIFOS,POLY D YANBER,CORPOAGRO S.A.,,1%,BOLSA PLASTICA,COSTA RICA
68,FOSFITO MONO Y DIBASICO DE NA Y K,PHOSTROL  SL,NUFARM COLOMBIA S.A,,"802 g/L
518 g/L",SL,ESTADOS UNIDOS DE AMERICA
69,METHOMYL,LASH  40 SP,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,400 g/kg,SP,"CHINA,TAIWAN"
70,"2,4-D",AMINA AGROGEN 480 SL,NUFARM COLOMBIA S.A,,480 g/L,SL,CHINA
71,POLISULFURO DE CALCIO COMO AZUFRE TOTAL // POLISULFURO DE CALCIO COMO,OIDIOMIL,PRODUMIX LTDA,,"173 g/L
42.6 g/L",SL,COLOMBIA
72,ABAMECTINA,ABAMEX 1.8 EC,TRUST QUIMICA S.A.S.,,18 g/L,EC,CHINA
73,PYRAZOSULFURON ETHYL,SIPERUS 250 SC,ROTAM  AGROCHEMICAL COLOMBIA LTDA,,250 g/L,SC,CHINA
74,DELTAMETRINA,DINASTIA   EC,BAYER  S.A,,100 g/L,EC,COLOMBIA
75,FLUDIOXONIL + METALAXIL - M,MAXIM XL 035 FS,SYNGENTA S.A,,"25 g/L
10 g/L",FS,"BRASIL, FRANCIA"
76,"ABAMECTINA AGROGEN 1,8% EC",ABAMECTINA AGROGEN 1.8% EC,NUFARM COLOMBIA S.A,,18 g/L,EC,CHINA
77,BUTACLOR,BUTHAMARK 600 EC,TRUST QUIMICA S.A.S,,600 g/L,EC,"ESPAÜA, CHINA"
78,SULFATO DE GENTAMICINA - CLORHIDRATO DE OXITETRACICLINA,CUMBRE WP,"MAYORISTAS  AGRICOLAS
S.A  MAGRO S.A",,"100 g/Kg
300 g/kg",WP,MEXICO
79,GLIFOSATO,BROKER 480 SL,TRUST QUIMICA S.A.S,,480 g/L,SL,CHINA
